5000 10000
731 4101 419.71
2991 99 940.77
2682 1738 302.54
1251 4731 623.78
3202 3473 461.19
1800 3304 529.27
3120 1210 543.05
441 2363 401.80
392 3806 403.09
3050 2590 490.73
4794 2008 189.42
3394 4790 633.29
3173 626 400.06
3389 2634 117.00
4286 4111 599.35
1777 17 508.13
4564 4769 472.31
1469 2246 345.34
2859 2720 586.71
3329 2413 679.72
2545 129 142.30
2069 666 342.35
1339 2511 550.41
4381 1731 867.64
2669 3783 949.62
673 2463 320.11
791 420 341.12
2253 316 315.67
1046 642 986.04
4302 332 516.11
1105 1080 315.07
1702 669 316.24
2201 3171 164.10
2915 1412 284.53
2243 1244 599.71
177 4788 61.68
1373 2247 788.54
1806 4064 903.93
1110 1188 460.89
796 3779 839.66
1323 2821 155.54
1243 2115 1110.17
3241 4848 792.20
3783 4287 941.42
491 4438 722.95
972 1596 463.28
1870 2674 276.70
2266 4071 765.30
2197 1533 737.95
1835 4440 710.68
2778 2012 490.29
580 503 415.99
4259 3739 502.67
920 1721 486.38
1279 3068 577.89
501 2602 365.43
889 1744 351.24
1069 483 914.48
1592 1205 447.26
4770 3435 966.40
643 2094 187.26
1384 2513 223.06
4768 2 409.11
2936 3317 100.42
1535 4771 987.51
2757 665 249.88
1783 4690 304.11
2521 2395 763.39
3429 3441 326.50
468 1060 239.76
1509 969 198.49
3662 3750 571.39
4065 4732 301.81
4233 658 252.45
937 356 519.92
445 1580 680.66
2450 1829 106.78
445 3571 547.71
3183 3381 676.22
1888 1071 864.30
3152 998 565.68
1736 1287 384.53
688 609 380.12
34 469 713.87
4050 503 594.52
1529 1911 244.92
1472 191 726.47
662 1890 697.15
1275 4895 373.16
2548 3564 395.10
251 4345 334.64
1496 4054 225.00
2527 1941 839.42
3977 710 363.79
322 865 337.88
1781 4826 665.80
3215 4870 329.67
2466 255 893.65
479 2500 871.42
724 882 316.81
4355 3605 207.89
2793 2180 413.30
149 4807 764.29
4070 1424 333.80
4703 2970 345.98
4989 1306 675.41
2315 1485 556.53
1712 4842 620.29
4779 689 774.73
1905 101 240.07
1555 3686 290.17
1280 1122 742.49
3556 3746 779.93
1378 388 652.00
2598 2102 430.08
1270 1954 408.09
708 415 526.41
486 857 167.69
223 4556 470.79
3633 1278 689.77
3878 4974 434.78
2584 1193 1026.18
1460 4297 935.18
2388 2591 511.41
4986 4293 710.24
4044 2893 736.62
4331 324 789.60
4016 4240 2.83
422 394 515.11
980 3021 307.08
3848 2250 656.98
1327 908 224.15
2665 1813 447.16
1765 4240 626.87
2721 1751 492.74
518 1599 221.03
1725 3103 258.44
4144 4537 195.45
3752 1532 653.95
2128 90 463.97
2177 1173 513.45
2984 2861 906.25
2849 2000 452.83
2101 3272 365.94
3746 3081 1030.36
1293 2594 842.13
1683 2620 147.12
3503 700 837.96
785 1620 510.42
4941 3506 655.43
4723 459 684.00
1457 1449 783.16
4914 601 723.27
2338 18 758.81
3486 4467 211.63
109 663 875.63
1992 3093 701.16
4876 4841 310.70
1445 1977 635.24
3113 191 501.81
1410 758 250.46
4137 4445 839.17
4730 3992 518.68
1498 515 132.06
613 1439 423.62
373 336 647.03
3250 1830 507.96
3137 4517 474.51
3784 476 535.96
4535 2270 934.60
1295 4644 852.66
4285 3287 364.07
2737 4162 547.22
4480 534 159.14
2491 3946 764.13
725 254 762.43
4704 1215 370.47
4699 4435 246.17
207 1197 430.24
1302 2172 657.93
3988 3028 526.91
2509 3591 636.84
1210 1998 279.31
3108 4994 523.36
3826 2643 1019.08
3616 121 555.33
3640 2902 929.07
3408 1377 422.04
2064 2889 504.62
3264 907 399.65
1835 341 474.01
1161 2891 320.89
1556 861 1017.22
3678 1764 641.70
3410 1333 681.91
3936 3751 345.81
4361 2797 115.87
2342 1923 266.06
4796 450 886.87
3270 3622 111.02
4445 1886 340.15
96 3085 1069.38
4788 3504 374.92
815 3204 578.97
2745 4079 615.00
4112 932 696.26
4420 273 904.22
176 977 323.64
2486 3854 650.27
2741 2249 733.04
187 3029 265.41
1000 900 231.09
827 3342 529.75
4176 1975 670.98
3792 2446 791.15
1949 3237 414.69
4332 2045 343.17
1323 473 199.72
1902 2138 314.70
3677 999 186.00
2569 2789 507.10
3284 1989 532.70
4415 3460 482.92
2966 1901 413.68
2314 2059 142.00
502 3854 507.39
89 1502 407.42
1106 2268 993.84
4844 1634 651.34
595 3636 226.92
4080 2544 775.04
3226 4765 487.20
942 4549 513.79
238 4196 1047.55
3039 267 179.33
195 608 755.84
4409 3479 955.54
2597 3824 718.48
1939 1916 493.79
2077 606 87.98
327 2580 316.47
812 1768 434.74
4082 1918 152.40
388 279 286.40
