10000 20000
0 1 54.39
0 2 90.79
2 3 81.60
1 4 24.13
4 5 4.32
0 6 84.94
2 7 88.32
4 8 99.18
4 9 6.92
3 10 19.91
8 11 64.76
5 12 68.74
1 13 1.00
9 14 77.62
10 15 73.89
9 16 64.81
15 17 29.88
4 18 9.37
11 19 97.67
3 20 13.26
12 21 72.98
4 22 61.83
10 23 62.03
16 24 25.49
0 25 68.11
2 26 88.91
5 27 43.78
17 28 13.81
12 29 94.28
4 30 57.90
29 31 1.51
17 32 95.45
13 33 77.32
19 34 40.86
12 35 36.32
2 36 75.98
0 37 50.32
2 38 69.59
30 39 97.82
13 40 79.29
4 41 38.48
15 42 97.79
32 43 25.85
33 44 25.05
22 45 2.04
19 46 87.30
19 47 4.66
18 48 31.93
12 49 86.57
40 50 55.96
2 51 24.90
7 52 31.18
16 53 68.75
14 54 85.56
53 55 93.85
2 56 32.50
54 57 33.05
49 58 13.60
29 59 40.89
58 60 77.03
43 61 19.59
32 62 43.47
53 63 47.08
59 64 4.22
4 65 46.18
49 66 55.54
64 67 90.12
55 68 44.30
52 69 85.49
9 70 25.44
24 71 93.71
22 72 11.68
37 73 86.22
62 74 83.66
10 75 60.92
7 76 68.04
18 77 25.02
9 78 2.76
47 79 84.91
68 80 4.76
70 81 64.16
41 82 1.18
72 83 45.02
12 84 13.15
21 85 73.34
80 86 9.85
86 87 93.53
26 88 92.80
69 89 43.81
34 90 6.87
21 91 37.15
25 92 83.24
82 93 84.43
11 94 32.27
89 95 89.97
93 96 99.44
76 97 94.32
54 98 8.42
47 99 44.10
1 100 68.85
53 101 57.16
45 102 83.49
81 103 97.24
82 104 30.45
67 105 52.75
66 106 44.77
8 107 10.23
32 108 50.06
21 109 13.00
98 110 63.00
97 111 17.35
89 112 56.10
11 113 62.05
13 114 50.02
10 115 83.09
61 116 22.59
40 117 95.57
62 118 89.95
80 119 81.37
24 120 33.86
22 121 55.72
10 122 23.01
107 123 5.64
119 124 58.61
14 125 53.40
82 126 19.62
104 127 83.04
84 128 80.43
81 129 38.24
61 130 50.25
128 131 48.31
129 132 60.58
73 133 76.92
93 134 36.69
59 135 69.92
76 136 91.41
118 137 47.18
36 138 89.59
115 139 85.50
47 140 68.47
9 141 68.80
135 142 8.65
110 143 61.80
36 144 95.93
112 145 18.52
104 146 20.36
27 147 18.01
23 148 9.71
85 149 30.46
85 150 52.22
133 151 14.95
5 152 25.02
101 153 57.06
143 154 12.95
10 155 61.80
104 156 80.45
136 157 67.50
67 158 81.43
13 159 76.18
135 160 28.34
91 161 23.54
2 162 59.53
24 163 27.64
112 164 34.48
18 165 13.64
144 166 56.49
164 167 29.33
150 168 87.72
94 169 94.12
159 170 27.94
88 171 80.09
28 172 85.52
51 173 95.49
127 174 75.88
59 175 44.32
9 176 65.36
27 177 50.92
78 178 7.40
37 179 92.13
176 180 34.66
28 181 26.58
176 182 32.35
25 183 70.65
88 184 40.30
116 185 19.73
39 186 20.69
160 187 74.64
89 188 46.40
58 189 72.16
159 190 41.80
116 191 25.51
28 192 82.33
99 193 31.05
148 194 52.98
82 195 29.60
146 196 27.94
54 197 76.78
181 198 10.10
175 199 78.35
199 200 12.21
198 201 16.65
154 202 95.90
123 203 37.11
121 204 60.41
46 205 63.60
28 206 24.75
101 207 8.37
11 208 63.54
116 209 94.80
136 210 60.60
73 211 3.16
185 212 78.59
138 213 46.83
194 214 26.38
18 215 37.09
153 216 22.27
111 217 68.48
45 218 43.02
1 219 59.48
100 220 13.86
153 221 4.64
41 222 11.19
42 223 43.68
1 224 49.43
102 225 89.25
193 226 61.89
59 227 96.57
0 228 70.35
71 229 28.17
220 230 67.58
99 231 33.31
5 232 16.99
128 233 7.02
151 234 6.38
20 235 61.44
148 236 87.58
93 237 55.84
46 238 76.09
38 239 71.49
25 240 37.00
215 241 34.55
112 242 52.14
228 243 38.37
142 244 73.52
85 245 18.22
75 246 29.79
79 247 29.94
15 248 51.33
146 249 4.79
163 250 1.45
25 251 74.94
227 252 30.31
82 253 85.79
102 254 29.29
169 255 30.91
38 256 18.02
142 257 63.18
58 258 94.58
135 259 90.65
104 260 66.08
257 261 9.19
202 262 58.40
235 263 40.66
74 264 73.09
112 265 65.44
216 266 9.68
110 267 61.57
112 268 70.16
12 269 44.39
173 270 4.65
148 271 63.74
32 272 38.76
266 273 89.82
67 274 27.46
244 275 1.44
233 276 88.34
5 277 87.42
115 278 46.77
29 279 55.47
170 280 71.53
114 281 92.40
204 282 60.29
214 283 19.20
219 284 1.33
281 285 28.89
198 286 36.89
272 287 25.64
230 288 18.55
