500 1000
375 199 704.21
357 216 178.62
260 453 261.28
497 267 705.35
83 310 897.80
356 414 363.44
363 465 130.27
394 442 579.88
482 23 562.38
385 118 165.05
201 223 363.82
363 171 85.15
116 83 851.15
378 101 366.66
166 220 665.15
168 41 716.65
271 378 505.76
110 31 518.30
331 107 730.92
150 267 932.77
417 6 966.56
181 132 857.70
323 427 142.64
75 157 598.46
450 312 864.68
127 4 910.87
35 491 452.68
27 151 506.79
74 405 802.58
104 240 184.10
477 124 666.80
134 248 529.27
2 244 574.28
131 186 709.26
351 134 814.80
453 121 450.14
140 134 375.21
253 316 277.65
413 180 263.76
325 215 593.97
492 453 241.92
219 27 299.77
444 247 632.32
30 370 766.85
4 134 287.11
463 482 525.12
111 97 552.79
82 113 612.60
193 66 399.96
151 396 806.98
200 104 316.03
17 192 260.52
90 123 507.73
360 355 519.05
303 186 714.67
71 148 151.48
139 142 229.00
27 435 172.80
389 58 551.06
305 246 665.00
44 268 656.06
80 155 251.24
217 14 349.19
121 262 214.52
432 272 517.32
159 132 931.10
377 176 132.03
177 319 136.36
151 37 501.20
175 455 574.81
223 246 328.12
103 214 761.36
388 130 762.95
149 130 562.52
40 455 862.76
228 85 558.58
75 308 742.08
92 145 491.11
322 213 796.49
407 255 735.97
486 66 248.91
239 215 595.09
95 416 163.27
34 246 197.34
306 61 174.32
53 381 884.41
159 156 699.85
96 400 557.37
139 97 301.32
30 31 251.10
404 110 119.44
468 480 288.62
418 61 686.82
477 240 749.82
274 384 77.41
347 112 524.42
303 87 789.56
327 398 482.81
355 214 612.98
144 13 309.01
275 198 408.02
247 435 231.21
206 195 868.42
335 197 944.98
292 217 460.01
229 197 893.09
327 197 527.31
29 97 356.95
110 6 306.03
189 385 391.23
242 37 652.83
497 45 704.36
476 177 387.98
295 183 730.50
391 440 453.84
49 166 1019.65
490 296 127.14
453 48 268.69
491 140 193.60
246 135 723.17
209 327 563.77
332 388 1111.55
376 213 481.43
485 487 562.32
71 27 584.06
224 166 722.67
416 221 659.20
63 244 304.17
250 359 939.14
279 141 646.69
151 328 499.77
160 141 58.73
476 113 977.06
189 467 487.09
106 287 340.98
455 167 739.98
114 287 183.66
56 343 722.25
353 393 548.29
330 276 109.25
420 54 354.87
