1000 2000
248 291 182.63
478 979 1073.91
361 25 502.52
618 168 114.48
258 99 191.17
601 41 872.55
703 500 513.12
850 923 620.46
412 466 441.71
59 406 139.56
712 233 585.88
700 128 222.78
22 739 745.33
545 570 215.41
985 993 765.66
412 233 487.02
285 242 835.22
564 646 123.82
620 182 58.05
814 878 569.00
634 767 289.46
271 337 805.18
619 121 406.28
260 31 373.75
939 671 427.13
438 4 763.74
257 490 297.86
132 279 567.10
230 29 122.92
849 215 543.90
23 613 803.65
801 660 480.19
208 717 382.59
658 828 552.55
900 472 854.20
706 886 472.12
591 330 427.31
223 210 742.91
803 836 195.53
594 743 845.40
507 32 840.74
747 764 266.60
522 231 416.36
395 104 571.74
613 597 226.53
672 988 586.12
210 825 275.14
648 418 755.89
542 306 630.85
246 794 738.18
130 305 579.68
680 73 201.30
635 256 158.05
635 438 169.85
92 229 982.41
533 951 232.26
261 280 485.33
716 136 746.46
864 463 955.77
592 477 774.58
60 616 599.53
465 271 83.86
441 465 274.00
41 984 270.54
771 288 410.62
130 253 651.81
945 811 124.68
326 580 143.92
67 961 507.73
370 511 400.43
191 904 216.33
462 804 718.67
536 178 236.23
292 752 719.42
994 885 537.92
229 54 965.31
853 46 323.04
677 295 186.68
511 719 522.23
631 634 421.81
7 761 705.28
887 304 519.23
924 213 240.47
884 991 465.82
527 606 586.40
502 70 217.59
862 965 767.39
226 399 759.52
495 519 901.78
503 489 599.40
756 733 556.76
896 609 218.84
131 573 235.29
904 643 701.46
292 887 545.59
277 651 300.50
649 517 711.24
955 573 707.84
82 191 413.86
917 609 637.97
798 419 357.69
31 660 375.93
736 258 608.67
411 584 241.01
777 915 140.51
425 885 466.00
0 321 478.26
494 131 283.43
247 751 401.54
126 539 499.72
990 756 67.48
191 639 60.42
273 146 439.21
565 355 405.18
690 482 400.14
317 488 30.36
253 348 208.15
500 342 1052.52
606 912 568.34
926 735 564.44
179 703 110.14
620 179 365.32
377 467 765.35
662 624 190.44
570 789 125.00
163 560 825.48
897 706 818.19
200 170 486.59
205 765 222.73
525 895 371.94
599 842 158.69
735 852 121.94
543 235 627.62
546 149 226.79
147 824 761.82
885 678 451.54
528 857 960.22
857 905 544.00
324 872 563.26
881 894 531.05
13 44 265.17
455 910 598.94
103 7 638.95
80 660 284.70
124 957 926.85
555 723 883.18
152 290 929.26
927 695 595.67
525 474 518.96
196 25 515.88
298 433 831.80
703 826 357.33
291 913 490.54
83 615 198.81
137 964 512.72
510 150 703.55
361 317 628.75
412 816 664.00
324 844 361.81
476 448 537.80
801 31 559.09
171 305 544.39
673 450 173.79
352 550 596.52
924 549 696.94
575 223 767.39
982 631 552.18
401 273 422.73
896 837 570.02
241 33 421.85
153 751 255.01
183 866 380.37
68 947 652.13
682 744 428.03
791 510 750.70
192 592 706.56
893 715 694.76
250 566 891.95
165 602 686.29
469 442 233.82
503 44 681.74
17 838 439.03
27 418 510.57
463 923 326.10
607 704 395.02
308 113 432.25
807 843 148.68
979 875 168.50
790 14 225.75
971 581 119.67
524 163 240.79
174 418 185.55
230 776 462.47
984 748 468.93
730 805 150.62
190 234 605.22
850 207 239.10
72 229 114.98
977 535 530.21
505 585 1215.66
592 813 804.51
698 399 671.19
657 29 857.25
627 447 322.06
43 598 717.95
381 568 257.90
114 907 205.99
986 344 759.44
683 322 342.12
92 413 1149.45
128 282 248.47
647 330 270.85
841 71 544.33
911 819 299.24
959 416 597.75
756 551 150.62
582 806 545.99
302 591 335.63
835 929 502.38
390 231 626.09
528 771 323.29
799 642 332.39
678 137 222.68
338 361 672.29
811 783 370.70
775 291 709.37
417 774 657.63
973 259 197.09
198 885 191.85
430 509 142.04
653 186 520.62
412 587 739.62
992 714 555.24
178 179 522.27
644 569 714.89
410 524 723.61
340 561 384.95
518 19 767.81
50 856 1130.70
732 214 759.13
991 859 594.41
505 409 833.75
986 831 212.14
20 536 392.46
68 450 149.58
45 73 466.13
636 457 497.00
661 980 635.44
523 839 405.22
511 519 782.04
760 274 211.97
43 453 677.48
835 561 467.74
472 238 603.37
770 556 674.71
452 761 597.07
416 309 203.09
522 754 809.78
492 542 602.08
290 560 146.24
992 687 834.42
634 980 667.85
496 295 642.11
960 19 52.01
486 824 256.63
539 599 505.40
98 934 426.62
52 933 169.92
496 524 95.52
523 618 922.73
432 327 327.20
731 200 772.71
637 254 669.43
954 129 122.72
796 596 618.75
42 789 399.68
283 676 398.58
121 779 646.38
323 82 404.98
799 161 244.36
906 690 728.91
760 356 354.45
624 812 547.23
641 472 705.75
688 165 282.06
90 121 579.88
492 822 645.31
673 481 780.42
428 980 929.76
611 224 522.04
576 5 399.81
365 860 662.91
681 487 799.74
991 356 462.40
921 142 763.18
869 179 102.65
832 630 341.47
535 809 69.66
442 176 716.85
281 483 400.45
693 724 355.38
956 186 718.87
898 629 116.02
667 678 283.10
609 630 530.33
902 538 965.69
635 620 919.08
750 668 251.08
107 741 723.92
376 380 169.26
236 246 374.03
559 68 373.80
876 446 174.95
229 670 178.13
974 863 556.23
505 668 364.73
587 461 605.54
206 837 188.15
443 225 494.05
515 404 281.51
856 769 732.50
942 843 733.05
389 692 952.64
864 848 220.51
786 240 423.47
580 22 590.01
486 491 363.04
442 714 269.42
937 672 428.81
737 264 619.00
535 242 500.14
932 474 577.04
56 490 253.16
663 499 824.70
715 530 743.54
903 571 270.21
299 198 1053.44
767 41 594.19
242 631 635.69
241 28 321.23
871 822 470.32
402 710 965.24
313 845 260.82
776 603 534.31
517 865 410.60
867 404 366.65
460 151 386.70
230 516 172.63
641 893 464.08
367 356 292.51
423 622 652.83
280 74 484.33
820 47 765.76
467 63 215.13
678 709 337.16
443 901 606.70
883 846 738.17
963 548 755.80
691 92 863.75
151 560 816.15
957 370 336.90
316 417 585.24
521 546 249.19
933 162 1098.08
791 652 412.94
871 566 703.84
275 151 935.95
992 447 54.71
198 460 393.91
510 228 856.21
521 306 798.67
129 404 593.27
152 445 790.28
304 195 867.31
537 456 453.76
107 494 302.38
826 423 314.72
912 348 91.42
321 197 463.34
862 112 404.08
850 733 76.06
678 477 213.15
236 670 427.00
924 434 651.62
482 787 397.88
662 3 282.65
93 144 455.03
759 597 1048.58
941 64 387.54
792 478 1154.92
872 899 203.58
324 698 428.92
674 236 434.18
398 995 524.32
786 613 859.28
459 988 674.80
698 137 204.71
465 935 109.20
159 741 725.45
369 642 507.14
528 384 114.69
645 621 267.65
880 757 485.57
218 821 988.35
173 362 285.33
651 45 192.43
613 975 710.44
95 287 283.53
564 494 251.88
634 350 333.72
459 93 334.89
690 157 236.40
230 507 473.78
92 390 321.40
248 814 109.66
384 777 666.19
198 381 702.26
398 430 694.76
138 969 546.98
251 311 517.40
331 902 754.94
708 945 101.49
229 804 107.94
584 793 292.49
650 219 160.23
143 109 449.62
312 185 448.79
266 895 289.50
692 359 807.53
637 941 579.87
173 21 340.71
718 723 241.02
402 468 667.92
505 893 864.88
789 756 620.01
556 121 146.84
10 265 104.71
418 239 359.76
421 354 947.76
385 71 1093.00
573 528 486.53
180 238 249.88
714 798 654.49
485 758 186.46
157 474 552.87
699 682 523.70
847 769 287.80
757 601 163.01
238 262 318.64
494 27 388.46
370 403 428.66
500 732 909.20
20 270 321.47
324 441 331.79
625 709 182.02
512 550 238.73
589 44 695.06
140 655 691.87
842 625 157.04
414 352 807.77
451 113 620.63
386 298 577.41
235 496 350.14
900 473 274.87
110 394 630.92
852 481 256.20
149 705 460.24
565 169 303.35
327 241 139.20
610 304 602.13
950 474 741.20
207 892 772.61
518 347 328.80
547 713 353.55
325 313 572.49
417 776 516.15
779 155 385.65
75 14 787.18
651 975 252.34
839 762 813.91
721 691 851.50
595 871 692.34
748 512 924.31
40 428 862.17
754 3 162.48
732 56 627.50
477 939 351.37
948 348 260.32
287 848 672.23
61 964 1000.14
161 478 925.05
740 940 474.98
633 167 667.03
306 637 190.97
494 145 860.45
399 568 624.39
189 346 840.76
791 937 706.22
858 831 323.56
365 612 723.68
186 450 350.47
669 664 765.00
389 969 886.48
12 28 704.34
817 73 351.68
992 331 498.39
903 85 295.01
271 888 1006.75
604 578 926.75
877 99 634.66
75 276 215.39
19 264 422.47
974 810 431.19
202 833 1066.81
993 919 651.48
797 180 671.76
369 818 214.22
844 111 813.94
788 856 1020.23
139 605 722.81
281 484 304.82
936 536 263.95
921 560 833.07
776 525 138.29
490 654 254.10
976 565 267.85
282 995 467.75
830 257 154.74
805 384 768.00
442 151 872.08
655 239 463.32
331 25 255.52
58 175 840.59
136 846 246.29
383 627 351.00
803 16 439.79
463 92 1090.73
552 384 437.62
652 680 592.80
262 494 531.01
334 590 257.26
411 969 592.02
938 593 604.82
226 95 475.93
977 20 291.66
246 633 226.29
259 577 548.71
10 669 566.02
752 498 52.33
515 487 172.19
477 671 244.75
503 941 235.92
763 407 309.42
677 767 386.33
88 291 484.31
613 774 217.64
882 24 547.21
743 172 925.56
618 321 527.00
267 947 405.91
341 514 418.21
580 953 338.60
91 590 208.93
622 196 830.35
440 490 327.67
35 918 533.61
161 539 485.73
211 276 543.92
946 888 106.79
43 386 340.12
532 8 318.25
161 414 489.69
32 256 355.10
586 2 878.93
930 205 917.18
950 271 158.94
719 530 1018.10
576 163 342.34
473 199 511.38
711 913 974.98
689 746 788.98
183 202 182.43
285 394 387.32
478 584 526.49
283 873 221.01
322 815 637.78
881 835 441.60
581 265 415.96
92 519 257.87
268 374 196.40
724 218 233.42
997 796 635.61
100 574 334.03
311 925 427.68
773 22 260.39
839 814 689.14
768 374 291.12
16 406 509.13
769 494 168.81
342 404 789.34
719 664 859.48
571 600 337.40
500 504 1075.94
217 944 246.01
375 485 84.60
318 451 825.65
55 315 450.69
247 156 473.02
889 558 518.61
81 14 560.55
580 272 463.24
828 701 373.66
647 196 562.46
107 768 423.15
42 801 577.62
524 761 358.83
465 95 572.39
713 317 302.00
951 931 265.19
613 326 392.36
768 283 155.32
777 824 689.77
951 25 170.99
980 192 36.40
935 413 899.20
207 868 530.14
686 387 595.01
921 685 358.92
584 380 197.57
805 626 1131.62
181 329 708.39
388 998 713.60
424 453 314.52
316 375 513.19
384 929 363.03
701 153 185.06
213 830 428.92
329 164 814.03
207 309 606.53
356 143 152.19
74 915 348.21
363 760 1049.92
303 284 1039.32
797 239 199.46
664 602 422.18
865 197 548.15
931 605 717.72
195 707 623.62
411 511 537.24
82 795 292.14
793 135 527.47
300 358 539.37
318 629 682.87
874 525 320.39
290 582 545.83
20 365 610.12
850 383 190.82
477 505 741.97
19 627 831.83
744 683 621.92
229 961 275.75
232 513 355.14
919 428 1109.67
220 330 310.39
291 655 31.06
477 436 748.97
142 778 120.24
794 460 624.65
759 20 93.90
986 402 164.34
955 6 366.63
119 805 939.85
390 596 743.60
310 761 190.43
223 54 171.74
445 805 311.49
367 29 755.91
318 286 894.47
457 538 637.04
616 101 530.79
193 94 505.20
537 688 488.03
224 684 632.39
148 335 498.95
56 134 596.10
737 11 935.91
493 856 569.79
816 235 178.44
805 478 63.89
996 380 133.72
884 793 556.56
185 252 502.76
823 855 192.87
538 632 632.57
746 507 653.67
733 939 736.11
953 271 248.32
627 529 1019.15
307 128 727.10
864 363 686.80
262 954 483.00
375 755 636.52
162 543 376.28
990 967 142.51
374 339 348.39
700 258 596.61
132 237 242.51
862 955 494.49
93 753 157.43
588 839 310.87
260 321 225.52
130 565 161.45
944 110 269.15
94 251 776.29
590 958 220.10
967 852 769.50
912 694 583.32
960 427 448.48
589 302 456.86
394 963 193.17
641 446 270.12
574 774 340.65
684 436 667.53
81 129 697.83
189 669 637.22
320 449 786.06
343 802 612.87
14 287 579.22
264 460 424.50
891 854 939.51
419 210 107.19
59 683 519.13
904 371 519.31
110 845 669.49
25 857 382.67
809 19 381.67
655 383 296.57
145 691 498.01
819 226 643.93
820 9 1108.43
248 492 87.21
810 591 593.51
647 177 499.23
230 263 559.60
637 121 545.83
470 408 384.06
683 881 815.97
92 587 262.27
252 554 764.40
785 629 137.61
411 594 294.21
0 67 612.15
329 145 715.58
758 500 927.56
724 931 494.27
861 324 371.06
775 672 885.35
915 774 492.65
201 145 792.64
38 838 478.57
619 508 448.33
599 302 369.67
389 691 603.80
242 993 751.88
597 27 276.83
974 361 336.43
973 975 116.00
780 654 197.80
472 538 202.03
154 196 489.36
821 368 244.74
872 949 781.47
40 787 704.89
723 593 385.63
285 113 682.08
783 256 1084.23
973 382 477.32
910 714 971.58
73 152 818.09
707 23 518.15
531 682 1025.45
384 856 732.83
9 164 236.01
510 481 906.71
54 17 563.87
30 228 591.73
385 902 93.72
177 777 408.00
42 252 417.17
370 327 327.65
366 153 399.71
583 339 489.51
536 493 648.41
406 961 571.60
998 113 191.09
984 881 1061.22
147 368 120.83
738 156 827.11
532 600 308.40
990 939 1001.39
969 20 702.23
167 354 966.35
922 344 403.35
483 964 164.00
948 205 362.26
643 314 990.65
359 578 742.45
6 247 235.77
72 412 210.15
560 422 1030.02
877 545 407.09
303 377 1168.31
265 393 648.11
533 150 278.83
994 875 273.15
89 963 153.81
895 256 370.56
670 170 974.34
952 505 646.24
486 900 301.29
711 130 702.26
567 70 380.90
708 925 375.90
669 132 437.15
689 229 540.71
554 566 432.26
126 210 729.38
943 744 215.10
603 829 562.68
894 597 753.13
704 335 176.79
913 952 305.13
943 935 451.76
122 895 276.27
440 608 577.22
147 151 745.89
90 714 995.01
573 151 557.83
639 594 644.77
635 328 109.59
176 190 515.92
247 302 225.86
752 542 785.59
46 355 758.61
371 292 680.29
305 428 527.53
627 570 374.09
380 570 510.00
505 502 515.82
817 297 302.69
462 965 323.96
801 905 956.27
31 726 276.46
408 23 265.34
321 43 573.54
703 497 260.36
585 950 816.39
151 337 709.11
493 550 503.70
693 216 660.43
842 350 357.84
644 822 277.56
920 24 643.18
744 777 415.10
878 562 277.33
74 693 129.07
879 227 372.13
950 910 693.23
954 358 695.29
285 275 682.72
753 989 329.30
124 339 737.53
939 627 564.01
676 784 969.10
177 721 213.69
1 20 684.76
423 645 924.26
194 343 523.15
22 938 177.65
472 252 163.96
500 547 815.29
945 731 462.05
126 247 496.83
994 80 934.04
605 279 660.21
707 359 547.46
268 183 553.83
50 560 80.41
811 78 683.19
344 988 456.00
800 345 278.58
360 223 585.97
343 554 577.38
919 717 844.10
493 391 902.68
969 345 424.54
290 267 851.05
77 417 727.33
514 71 1030.38
849 472 691.02
702 557 267.80
183 971 812.76
92 233 295.66
883 903 1036.52
311 227 329.46
892 463 296.97
925 604 639.53
39 620 412.43
159 958 497.35
337 652 931.61
701 306 526.16
349 992 272.00
925 426 710.80
409 440 192.39
849 610 684.81
264 552 668.54
519 799 694.27
875 612 1032.16
32 110 214.05
515 695 747.53
337 759 800.25
511 614 489.12
364 550 785.90
234 523 617.02
860 571 464.78
527 561 408.72
230 876 167.03
553 155 287.47
655 314 994.77
947 504 381.98
277 211 287.89
408 796 373.00
10 635 509.91
408 394 865.62
745 924 886.38
442 435 539.43
35 953 671.89
49 399 540.74
503 284 252.41
274 715 239.92
207 153 648.17
276 437 106.00
30 182 219.64
593 685 379.33
848 540 371.30
541 125 726.90
104 302 190.77
922 114 383.23
289 330 564.29
861 387 376.32
606 303 624.19
822 642 471.77
256 223 490.59
393 111 317.18
507 668 232.82
178 715 448.26
821 454 350.18
152 203 304.32
988 97 711.73
240 837 800.61
638 782 48.80
314 94 706.82
436 236 363.90
208 725 947.57
919 421 622.69
464 525 313.50
724 286 696.68
519 332 76.42
510 913 223.68
795 369 272.97
933 973 346.32
436 754 350.57
780 941 398.91
958 768 373.48
38 550 288.36
957 28 558.87
332 272 871.78
122 120 560.33
860 683 419.69
198 779 985.02
104 662 243.46
657 181 171.11
301 176 96.46
865 811 532.18
89 661 446.22
532 374 137.41
986 969 744.75
129 766 616.28
910 439 359.78
887 300 631.93
989 844 529.07
329 674 332.66
116 803 415.88
146 977 192.51
486 344 705.57
108 943 411.25
359 765 222.95
124 660 419.10
294 341 576.93
823 735 644.42
2 355 592.69
110 341 710.54
676 239 473.81
107 938 535.11
30 994 556.61
239 371 691.80
191 920 834.54
397 307 879.98
723 544 493.28
636 210 636.10
240 745 1096.41
505 599 491.69
862 629 821.94
259 156 37.12
322 82 658.56
892 677 212.93
790 2 653.48
18 818 409.91
593 125 349.37
757 623 736.51
472 348 848.92
994 663 447.60
268 392 383.77
322 991 777.48
288 311 38.21
553 528 502.71
408 58 21.93
128 270 751.23
39 739 840.55
427 362 233.89
174 671 618.10
39 964 730.70
673 57 227.41
134 618 453.54
534 891 722.00
241 358 544.71
239 587 357.83
373 859 501.95
331 696 369.20
203 619 714.50
7 756 200.86
500 415 309.39
167 628 534.24
37 206 145.17
367 816 772.87
920 541 462.00
487 311 599.65
857 512 471.85
720 992 426.68
130 255 436.98
235 723 488.30
965 827 714.69
311 339 596.15
686 994 157.00
387 241 114.18
966 746 665.07
998 466 642.35
513 517 438.01
446 550 415.22
75 813 580.20
367 996 347.02
707 206 626.77
659 916 452.18
719 380 585.70
260 201 490.17
987 496 687.43
925 952 598.31
675 236 179.55
643 713 359.87
230 30 426.14
955 548 201.63
128 305 290.34
14 641 323.20
822 460 322.80
544 897 92.70
626 263 925.72
245 685 237.93
469 905 286.39
601 540 551.07
637 214 959.25
742 624 794.97
62 667 572.39
928 737 534.13
255 572 771.17
450 837 157.09
954 405 57.97
386 83 180.28
710 400 867.67
76 884 914.09
213 620 148.49
782 839 855.78
883 379 134.45
524 705 526.34
636 477 260.85
597 273 326.96
43 339 588.59
249 105 728.87
358 178 619.27
842 613 404.40
750 645 553.25
451 56 492.52
50 189 848.36
139 113 179.23
589 216 686.94
997 802 582.79
188 131 238.20
993 424 747.96
511 869 214.16
481 499 519.00
347 78 652.15
125 390 815.22
770 374 430.76
848 128 428.32
552 690 555.26
94 654 397.56
687 897 687.30
711 738 911.01
86 202 685.53
203 27 808.33
418 200 170.53
182 959 321.22
684 175 942.34
383 195 239.89
45 216 882.35
46 744 577.47
294 171 528.24
486 64 66.03
898 334 556.87
193 450 156.95
377 639 470.24
457 64 182.69
536 168 403.52
802 622 321.60
370 357 618.93
649 141 341.70
558 831 352.06
452 242 809.34
359 187 121.49
789 404 719.09
403 187 829.60
500 697 756.41
359 986 615.83
114 609 147.05
321 659 664.61
59 698 389.65
298 868 561.26
762 834 205.65
388 917 801.93
456 111 585.16
626 457 709.74
604 184 278.03
641 56 348.37
778 0 250.00
243 919 232.65
756 998 921.36
