500 50000
0 1 95.23
1 2 37.06
0 3 95.63
2 4 74.59
1 5 17.85
1 6 29.30
3 7 25.07
2 8 38.48
0 9 74.81
0 10 13.85
0 11 45.29
3 12 52.40
10 13 95.36
3 14 47.26
11 15 83.33
4 16 22.92
3 17 57.86
6 18 5.37
10 19 7.70
11 20 33.41
3 21 98.84
5 22 51.76
18 23 44.79
8 24 87.54
8 25 21.76
3 26 31.43
4 27 53.90
5 28 90.98
22 29 9.05
24 30 10.07
9 31 91.98
27 32 69.95
25 33 89.97
7 34 3.34
21 35 53.27
22 36 21.22
24 37 96.45
12 38 75.03
23 39 61.21
34 40 59.84
18 41 62.96
18 42 48.03
24 43 73.11
13 44 65.12
39 45 76.25
21 46 72.54
0 47 6.19
35 48 18.07
27 49 16.81
15 50 91.83
15 51 55.15
0 52 21.20
7 53 84.04
2 54 91.84
40 55 57.79
28 56 27.22
49 57 41.96
10 58 36.61
33 59 13.25
17 60 95.23
54 61 74.93
57 62 56.73
38 63 10.26
57 64 75.28
46 65 93.21
49 66 94.15
29 67 79.17
22 68 98.96
44 69 10.57
64 70 8.46
13 71 42.49
18 72 87.11
46 73 8.92
50 74 97.53
35 75 24.46
59 76 9.67
47 77 60.52
12 78 78.51
49 79 39.20
54 80 94.85
64 81 20.90
69 82 79.77
49 83 4.34
77 84 62.27
44 85 69.54
74 86 80.27
6 87 4.41
82 88 94.49
23 89 90.10
59 90 32.50
76 91 84.77
25 92 12.96
2 93 6.58
79 94 15.07
28 95 44.26
83 96 76.20
16 97 97.91
16 98 63.22
8 99 34.71
72 100 15.16
68 101 94.23
2 102 15.28
99 103 61.80
86 104 9.97
71 105 1.79
92 106 65.46
2 107 81.64
57 108 30.85
27 109 67.89
103 110 32.01
85 111 53.84
27 112 75.30
90 113 63.18
32 114 53.00
81 115 63.03
88 116 1.14
86 117 61.59
66 118 54.89
31 119 24.20
3 120 74.30
51 121 5.33
32 122 10.54
40 123 17.18
112 124 73.20
89 125 84.31
27 126 95.22
10 127 12.41
102 128 88.89
37 129 9.05
106 130 71.49
41 131 9.06
119 132 28.34
24 133 86.05
111 134 92.05
89 135 46.09
126 136 34.23
44 137 6.10
112 138 36.39
47 139 83.17
96 140 6.35
95 141 13.79
63 142 5.62
97 143 71.09
22 144 98.80
72 145 35.42
60 146 50.22
93 147 41.91
112 148 13.13
14 149 59.78
54 150 37.20
96 151 70.52
60 152 55.29
152 153 14.20
39 154 96.90
26 155 99.27
142 156 63.85
95 157 3.83
53 158 37.26
94 159 61.99
83 160 53.06
27 161 6.34
123 162 39.89
157 163 79.84
14 164 74.21
67 165 56.19
115 166 44.50
107 167 80.84
92 168 2.33
21 169 89.47
0 170 90.41
34 171 1.49
123 172 1.79
71 173 22.73
169 174 77.23
168 175 73.11
137 176 80.14
64 177 32.58
164 178 25.71
56 179 71.04
135 180 51.04
25 181 10.33
124 182 52.94
10 183 93.32
123 184 84.21
53 185 52.50
90 186 71.52
48 187 28.89
94 188 56.30
112 189 10.36
142 190 34.35
122 191 62.83
95 192 60.94
116 193 33.51
164 194 6.82
