10000 20000
3768 8326 169.52
763 6510 703.45
6777 2997 419.31
8987 8733 404.98
3850 2516 679.72
2880 5196 246.46
3555 5572 398.72
4469 924 488.64
6018 8734 587.93
1926 4935 386.02
2266 9797 68.12
9534 8394 771.83
4085 5515 516.16
5793 528 809.61
14 132 355.29
3260 135 328.98
8458 376 675.56
2997 1587 382.27
9725 1985 474.90
6672 9927 938.93
853 5904 831.77
5123 4408 527.58
7829 5945 173.10
1684 3847 806.42
4679 9962 796.03
8782 3298 617.32
9759 4669 192.01
1692 3844 234.17
184 7486 321.50
724 6550 452.42
7618 337 506.91
6685 2428 759.07
713 9683 365.10
367 6790 694.26
8020 7039 614.07
6718 8873 795.31
2943 8193 678.47
9634 772 301.48
490 1318 789.31
4620 5170 1072.47
1281 9754 561.36
4820 7392 451.77
4423 6512 566.36
7589 959 860.66
350 8313 55.00
7510 4320 544.26
8650 547 627.10
3100 9363 71.55
6582 3467 97.19
6154 4602 777.48
506 9224 149.03
3476 9802 828.46
7417 3110 311.97
6926 7908 319.60
780 1546 665.05
9430 8413 646.40
7653 4250 444.08
5806 2076 574.87
7114 3395 566.02
9388 3817 350.04
1708 6898 724.98
4489 6711 203.30
7445 7590 542.97
6074 4028 585.30
7409 8580 352.61
4982 4268 752.70
7804 8458 1009.28
4070 5222 446.40
7920 996 575.01
9482 5053 591.42
8895 8912 400.81
3466 6548 393.26
9514 5624 571.02
4976 6628 679.56
5371 4364 430.97
6797 3432 1064.63
7614 1287 385.37
143 5060 132.06
5229 2569 388.31
5440 2638 616.19
1150 422 503.44
6906 8954 514.87
5233 7328 827.89
528 9505 464.05
4677 6362 527.50
4558 3572 696.13
5274 4377 246.17
6472 1140 571.90
6353 7800 437.98
4121 1725 372.11
8517 918 489.52
1509 6131 1011.90
2205 1652 435.63
7543 7434 329.22
4221 2983 532.00
6425 1723 281.81
9758 3331 109.77
678 1343 611.35
7012 7558 181.89
848 1689 270.15
3921 1759 648.34
1613 5547 539.89
2488 8085 687.26
3040 8841 574.19
2237 7161 237.54
6918 754 85.99
8079 8427 866.85
3238 6637 256.44
79 781 780.91
423 653 614.19
117 6848 133.36
2376 6227 566.26
6532 9406 128.16
7570 3544 694.62
3317 4770 720.61
5233 3590 693.25
6529 6846 195.56
9137 5369 483.98
1283 2177 695.02
4211 9872 217.41
5690 7481 695.83
627 3770 428.72
5909 217 355.62
6759 2340 524.10
998 7182 641.13
9345 1115 369.42
383 1722 198.64
7342 3267 689.77
7480 1264 334.04
6811 797 447.45
6035 8396 621.39
4387 8916 226.88
1594 9877 417.97
4286 2877 488.00
8406 4849 648.65
9101 4097 251.25
8682 6080 408.81
4219 4591 634.33
6297 7330 555.95
3284 7296 157.26
864 2629 343.94
4763 1247 433.87
703 8458 940.19
4514 8184 178.20
9722 7677 763.29
8981 2109 530.52
2425 9721 279.89
1026 4019 667.51
9598 1664 884.04
3248 4356 523.26
2865 2350 114.53
8453 1547 735.74
8430 9024 667.99
2491 4728 809.64
6354 5775 351.71
8376 7219 530.68
8404 9491 1037.16
4818 9108 490.14
7949 5685 152.41
3644 4024 773.71
3362 2625 316.27
2485 2140 223.67
8698 9863 448.79
6159 4648 681.83
1527 5760 925.09
9005 744 712.50
4462 3810 792.43
2292 2892 662.22
2835 1135 248.28
3972 5541 495.14
6910 8700 673.08
2760 1666 703.25
8192 7579 791.73
7126 2493 549.47
3264 770 685.69
6517 2978 901.28
9748 9003 329.85
1470 8446 693.18
8866 3982 476.25
3095 6746 340.21
9742 2100 459.58
3842 4204 377.08
2262 6134 566.08
3448 5097 171.64
3621 3773 213.00
639 531 224.59
2473 9751 501.62
8550 7017 761.58
7330 5676 393.88
9511 6946 217.91
2799 6028 483.00
6277 2547 227.48
1383 7747 904.34
7345 6602 939.62
8081 440 382.82
3348 7823 567.08
8892 3542 200.96
8379 1155 362.34
9677 8180 504.59
2604 9650 401.93
8305 9595 233.62
6534 778 741.06
9347 5084 797.11
7796 3029 427.63
7112 7307 568.54
9976 9911 350.09
9687 2605 651.81
8810 7423 77.37
6704 6156 567.60
4025 4786 954.11
2948 3725 618.23
8961 8193 502.00
7267 3693 985.86
5700 3296 517.31
1873 4656 369.69
2947 178 291.32
4252 9481 720.50
7308 3599 294.03
917 1456 532.74
6628 4381 225.33
5115 2956 485.28
4293 4803 295.08
5561 9455 590.64
8578 8618 614.00
1963 2603 787.14
3404 1264 741.68
2680 8717 334.50
9457 9947 488.36
2410 1509 601.51
9596 4283 84.31
6165 8895 338.61
813 417 311.62
4728 8122 535.28
368 5645 170.95
5930 6997 496.53
26 1046 473.78
6305 671 537.90
2201 8219 115.36
6479 779 471.28
6837 8442 329.42
3382 6593 576.92
9706 2414 639.35
5310 5515 161.47
8713 7721 575.30
3376 8309 568.07
8356 5894 508.48
7204 9170 238.53
